,Task,TaskName,Experiment,Phase,Query,QueryNumber,ContentionFactor,ThreadCount,AverageLatency,AverageLatencyMillis,AverageSize,OperationThroughput,DocumentThroughput,SizeThroughput,ErrorRate,Latency50thPercentile,Latency80thPercentile,Latency90thPercentile,Latency95thPercentile,Latency99thPercentile,WorkersMin,WorkersMax,LatencyMax,LatencyMin,DurationTotal,ErrorsTotal,OperationsTotal,DocumentsTotal,SizeTotal,OverheadTotal
147,query_es3_16_4.q2.reads,query_es3_16_4,es3,q2.reads,fixed_1: uar,2,16,4,6494404.1066,6.4944041066,367.5589,602.5548324897566,602.5548324897566,221474.39141961918,0.0,5887251.0,6007864.8,6086134.066666666,6243453.75,28231798.24666668,4,4,100398597.0,5320962.0,16596000000.0,0.0,10000.0,10000.0,3675589.0,958489671854.0
148,query_es3_16_4.q3.reads,query_es3_16_4,es3,q3.reads,"uar_[1,5]: uar",3,16,4,5403428.8391,5.403428839099999,367.7586,719.8905766323519,719.8905766323519,264745.95061550644,0.0,5773445.5,5908032.0,5998269.6,6135103.3999999985,28078135.933333363,4,4,101261012.0,486371.0,13891000000.0,0.0,10000.0,10000.0,3677586.0,1027268151956.0
149,query_es3_16_4.q4.reads,query_es3_16_4,es3,q4.reads,"uar_[1,5]: uar_alllow",4,16,4,4878190.5296,4.8781905296,368.0596,811.0957904128477,811.0957904128477,298531.59218103654,0.0,5888962.5,5988434.800000001,6033686.866666667,6067848.45,6313269.246666668,4,4,9120944.0,493575.0,12329000000.0,0.0,10000.0,10000.0,3680596.0,1085376805882.0
150,query_es3_16_8.load.inserts,query_es3_16_8,es3,load.inserts,load,load,16,8,9362700.81142,9.36270081142,156.5451,842.8576244900711,842.8576244900711,131945.23111156063,0.0,7220110.5,11520820.0,14599710.633333333,19585361.45,36855545.10333318,8,8,1079516970.0,3774322.0,118644000000.0,0.0,100000.0,100000.0,15654510.0,45291046041.0
151,query_es3_16_8.q1.reads,query_es3_16_8,es3,q1.reads,fixed_1: fixed_hf,1,16,8,11030821.0576,11.030821057599999,355.0,720.4091924212953,720.4091924212953,255745.2633095598,0.0,10930153.5,11086374.8,11191036.166666666,11312797.1,14384256.560000004,8,8,24760457.0,10288702.0,13881000000.0,0.0,10000.0,10000.0,3550000.0,993083903995.0
152,query_es3_16_8.q2.reads,query_es3_16_8,es3,q2.reads,fixed_1: uar,2,16,8,5612331.9757,5.6123319757,367.4869,1348.0722566729576,1348.0722566729576,495398.8945807495,0.0,4681304.0,4843055.6,5865850.266666666,8227332.699999999,27313599.583333347,8,8,110494689.0,4048422.0,7418000000.0,0.0,10000.0,10000.0,3674869.0,1105594544807.0
153,query_es3_16_8.q3.reads,query_es3_16_8,es3,q3.reads,"uar_[1,5]: uar",3,16,8,4564047.1644,4.564047164400001,367.766,1650.1650165016504,1650.1650165016504,606874.5874587459,0.0,4636964.0,4771884.2,4918200.133333333,6332054.849999998,26810329.96,8,8,108473350.0,466503.0,6060000000.0,0.0,10000.0,10000.0,3677660.0,1169972217556.0
154,query_es3_16_8.q4.reads,query_es3_16_8,es3,q4.reads,"uar_[1,5]: uar_alllow",4,16,8,4027101.9109,4.0271019109,368.0154,1914.6084625694045,1914.6084625694045,704605.3991958644,0.0,4612314.5,4724205.8,4832570.766666667,5798167.349999999,8488605.763333334,8,8,11776185.0,475372.0,5223000000.0,0.0,10000.0,10000.0,3680154.0,1223518311024.0
155,query_es3_16_16.load.inserts,query_es3_16_16,es3,load.inserts,load,load,16,16,15280207.37749,15.280207377490001,156.5451,1000.7906346092477,1000.7906346092477,156668.86997396813,0.0,10232292.5,17843366.400000002,24883187.03333333,34043119.04999996,69383643.23666659,16,16,5106903623.0,4356764.0,99920999000.0,0.0,100000.0,100000.0,15654510.0,174201362708.0
156,query_es3_16_16.q1.reads,query_es3_16_16,es3,q1.reads,fixed_1: fixed_hf,1,16,16,24144830.6707,24.1448306707,358.0,656.8144499178982,656.8144499178982,235139.57307060756,0.0,23714813.0,30074534.6,34597029.5,38243847.24999999,47870758.37666668,16,16,78743266.0,11724540.0,15225000000.0,0.0,10000.0,10000.0,3580000.0,1777720235689.0
157,query_es3_16_16.q2.reads,query_es3_16_16,es3,q2.reads,fixed_1: uar,2,16,16,12680914.5715,12.6809145715,367.5014,1218.9176011701609,1218.9176011701609,447953.9249146757,0.0,10925179.0,15890275.399999999,19045846.8,22302140.65,44438827.103333466,16,16,206220257.0,5322143.0,8204000000.000001,0.0,10000.0,10000.0,3675014.0,2024255979771.0
158,query_es3_16_16.q3.reads,query_es3_16_16,es3,q3.reads,"uar_[1,5]: uar",3,16,16,9911333.6889,9.9113336889,367.7522,1548.2275194654774,1548.2275194654774,569364.0763839722,0.0,9373938.5,13178589.8,16422122.733333332,19460723.399999995,34807365.82666676,16,16,228264645.0,503707.0,6458999000.0,0.0,10000.0,10000.0,3677522.0,2165754291003.0
159,query_es3_16_16.q4.reads,query_es3_16_16,es3,q4.reads,"uar_[1,5]: uar_alllow",4,16,16,9042391.7369,9.0423917369,368.0415,1728.60876899028,1728.60876899028,636199.7642523361,0.0,9310904.5,12436341.0,15549172.766666666,17194277.949999996,22307508.37666667,16,16,38863344.0,498717.0,5784999000.0,0.0,10000.0,10000.0,3680415.0,2279239310580.0
