,Task,TaskName,Experiment,Phase,Query,QueryNumber,ContentionFactor,ThreadCount,AverageLatency,AverageLatencyMillis,AverageSize,OperationThroughput,DocumentThroughput,SizeThroughput,ErrorRate,Latency50thPercentile,Latency80thPercentile,Latency90thPercentile,Latency95thPercentile,Latency99thPercentile,WorkersMin,WorkersMax,LatencyMax,LatencyMin,DurationTotal,ErrorsTotal,OperationsTotal,DocumentsTotal,SizeTotal,OverheadTotal
92,query_es2_16_4.q1.reads,query_es2_16_4,es2,q1.reads,fixed_10: fixed_hf,1,16,4,654861.1821,0.6548611821,386.0,5770.3404500865545,5770.3404500865545,2227351.41373341,0.0,652300.5,671311.0,682295.0666666667,692432.6499999999,712964.97,4,4,977141.0,588458.0,1733000000.0,0.0,10000.0,10000.0,3860000.0,644872530769.0
93,query_es2_16_4.q2.reads,query_es2_16_4,es2,q2.reads,fixed_10: uar,2,16,4,6857453.864,6.857453864000001,360.2498,550.05500550055,512.2662266226623,198157.20572057206,0.0,628387.5,746404.8,862842.9,90936037.1,93137854.40333334,4,4,99151506.0,464194.0,18180000000.0,0.0,10000.0,9313.0,3602498.0,652132635159.0
94,query_es2_16_4.q3.reads,query_es2_16_4,es2,q3.reads,"uar_[6,10]: uar",3,16,4,7057423.7609,7.057423760900001,358.8603,525.0170906188424,487.21586009428574,188407.79064460497,0.0,615977.0,748626.2000000001,881209.0,88834829.3,93036150.44666667,4,4,96551370.0,461437.0,19046999000.0,0.0,10000.0,9280.0,3588603.0,724166765418.0
95,query_es2_16_4.q4.reads,query_es2_16_4,es2,q4.reads,"uar_[6,10]: uar_alllow",4,16,4,7067923.4083,7.0679234083,359.0021,507.0993914807303,470.79107505071,182049.74645030426,0.0,614130.5,747945.6000000001,874514.9666666667,89491294.35,93609831.82,4,4,97741800.0,457916.0,19720000000.0,0.0,10000.0,9284.0,3590021.0,797760676696.0
96,query_es2_16_4.q5.reads,query_es2_16_4,es2,q5.reads,fixed_int: int,5,16,4,4512733.40479,4.51273340479,386.0,797.270153373012,797.270153373012,307746.27920198266,0.0,4508450.5,4584034.4,4626372.066666666,4664495.65,4760980.196666666,4,4,16469948.0,4173340.0,125427999000.0,0.0,100000.0,100000.0,38600000.0,929526515192.0
97,query_es2_16_4.q6.7,query_es2_16_4,es2,q6.7,fixed_int: int_txn,6,16,4,5927156.165735,5.927156165735001,193.0,1091.6673034725939,545.8336517362969,210691.7895702106,0.0,5762560.5,7221955.0,7753343.7,8119750.6,9407970.23333333,4,4,41865740.0,4197880.0,183206000000.0,0.0,200000.0,100000.0,38600000.0,927608859850.0
98,query_es2_16_8.load.inserts,query_es2_16_8,es2,load.inserts,load,load,16,8,6872201.39924,6.87220139924,174.4612,1119.5826195994134,1119.5826195994134,195323.72731445715,0.0,5041994.0,7466935.600000003,11271277.766666664,16761692.649999999,28083637.84333333,8,8,2079942031.0,2413837.0,89319000000.0,0.0,100000.0,100000.0,17446120.0,64364771593.0
99,query_es2_16_8.q1.reads,query_es2_16_8,es2,q1.reads,fixed_10: fixed_hf,1,16,8,857145.5958,0.8571455958,383.0,8756.567425569177,8756.567425569177,3353765.323992995,0.0,830835.0,875845.6000000001,988197.0,1003563.8500000001,1065275.78,8,8,1535413.0,777544.0,1142000000.0,0.0,10000.0,10000.0,3830000.0,774161403029.0
100,query_es2_16_8.q2.reads,query_es2_16_8,es2,q2.reads,fixed_10: uar,2,16,8,6701655.3952,6.7016553952,360.9839,1020.0959930731402,952.2596095337764,368238.2299539151,0.0,620868.0,753776.2,871405.0666666667,89821252.3,93927546.44,8,8,99847071.0,474547.0,9802999000.0,0.0,10000.0,9335.0,3609839.0,783602759543.0
101,query_es2_16_8.q3.reads,query_es2_16_8,es2,q3.reads,"uar_[6,10]: uar",3,16,8,7206685.7316,7.206685731600001,358.5553,1016.7768174885612,942.9588205388916,364570.7168276563,0.0,620654.0,762296.2,911291.2333333332,89610710.15,94134493.14666668,8,8,110038846.0,466686.0,9835000000.0,0.0,10000.0,9274.0,3585553.0,860819766699.0
